FOLIO,cuenta,N_REN,SEXO,EDAD,PC3_2,ENT,ESC,FACTOR
19972,1,2,2,5,5,5,0,3953
19972,1,1,1,3,5,5,0,3953
20015,1,2,2,4,11,17,0,1825
20016,1,2,2,4,11,2,0,26708
20016,1,1,2,4,11,2,0,26708
20016,1,4,1,6,11,2,0,26708
20016,1,3,2,4,11,2,0,26708
20075,1,1,2,3,3,18,0,688
20078,1,1,2,3,3,25,0,1099
20119,1,1,2,3,3,22,0,1149
20122,1,1,1,3,3,27,0,1007
20129,1,1,2,3,3,8,0,3663
20134,1,1,1,3,6,27,0,1167
20148,1,2,1,3,3,4,0,340
20158,1,2,1,3,3,29,0,481
20177,1,1,2,4,11,15,0,5401
20186,1,2,1,3,1,6,0,1072
20232,1,1,2,3,3,6,0,381
20252,1,1,2,4,1,17,0,1531
20279,1,4,1,26,6,5,0,1897
20303,1,2,2,3,3,20,0,1651
20350,1,2,2,4,3,29,0,325
20368,1,1,1,3,3,7,0,3250
20383,1,1,1,3,3,5,0,2589
20576,1,1,1,3,3,14,0,5826
20586,1,1,1,4,3,26,0,2517
20623,1,1,1,3,3,6,0,218
20650,1,1,1,3,3,31,0,907
20653,1,1,2,12,6,7,0,1556
20668,1,1,2,3,3,17,0,690
20670,1,3,2,15,2,26,0,2257
20670,1,2,1,13,2,26,0,2257
20700,1,1,2,3,3,11,0,2841
20769,1,1,1,22,1,10,0,2306
20773,1,1,2,3,3,26,0,1501
20799,1,2,1,5,6,31,0,666
20804,1,3,1,15,6,32,0,881
20855,1,2,2,4,11,27,0,522
20871,1,3,2,19,1,31,0,1248
20970,1,2,2,3,1,20,0,1651
21046,1,1,2,3,3,29,0,337
21064,1,1,1,3,3,29,0,193
21071,1,1,2,3,3,11,0,1972
21085,1,1,1,3,3,31,0,1091
21117,1,1,1,3,3,9,0,16453
21133,1,1,1,4,3,7,0,1889
21138,1,2,2,4,9,13,0,1538
21158,1,1,2,3,3,15,0,6389
21160,1,1,2,4,11,30,0,7590
21164,1,1,2,3,3,27,0,906
21177,1,1,2,3,3,2,0,4289
21196,1,2,2,3,3,2,0,2917
21197,1,1,2,3,3,30,0,4894
21252,1,2,2,3,3,3,0,365
21255,1,5,2,28,10,20,0,3029
21289,1,2,1,4,11,8,0,5740
21346,1,2,2,3,3,25,0,1420
21348,1,1,2,3,3,30,0,3394
21406,1,1,2,3,3,32,0,722
21446,1,2,1,3,3,8,0,4254
21450,1,1,1,4,3,5,0,1940
21496,1,1,2,3,3,22,0,1149
21501,1,2,1,27,10,2,0,1744
21514,1,2,1,3,3,31,0,968
21530,1,1,2,4,11,29,0,374
21609,1,1,2,3,3,13,0,1789
21611,1,1,1,4,3,10,0,1000
21617,1,1,1,5,6,12,0,1350
21618,1,2,2,13,6,1,0,630
21630,1,1,1,3,11,21,0,1761
21668,1,2,1,3,3,4,0,306
21748,1,1,1,3,3,28,0,736
21801,1,1,2,4,3,1,0,555
21810,1,1,1,3,3,11,0,6976
21838,1,2,1,3,5,13,0,2869
21841,1,1,1,24,6,21,0,569
21852,1,2,2,3,3,10,0,456
21875,1,3,1,18,6,27,0,529
21921,1,1,1,3,3,31,0,254
21940,1,1,1,3,1,29,0,725
21964,1,1,2,3,3,6,0,498
21965,1,1,2,3,3,26,0,1532
21979,1,1,1,3,3,10,0,677
21989,1,1,2,3,3,13,0,1199
22027,1,1,1,5,3,18,0,385
22135,1,2,2,3,3,3,0,1614
22219,1,1,2,3,3,8,0,993
22268,1,1,1,3,3,14,0,9439
22375,1,1,2,4,9,7,0,858
22391,1,1,1,3,3,28,0,1583
22404,1,1,1,3,3,29,0,737
22485,1,3,1,4,11,18,0,1596
22535,1,1,2,3,3,17,0,354
22654,1,1,2,12,7,12,0,579
