FOLIO,cuenta,N_REN,SEXO,EDAD,PC3_2,ENT,ESC,FACTOR
4938,1,1,2,3,3,17,0,962
4957,1,2,1,3,3,20,0,1070
4964,1,2,1,3,3,19,0,2414
5011,1,1,2,3,3,26,0,1326
5027,1,1,2,3,3,30,0,3701
5038,1,2,1,3,1,23,0,1380
5039,1,1,1,6,6,22,0,1468
5067,1,1,2,3,3,31,0,1016
5077,1,1,2,3,3,32,0,1022
5100,1,1,1,4,9,15,0,3041
5147,1,2,1,23,10,30,0,9024
5158,1,3,1,3,3,19,0,1964
5180,1,1,1,3,3,13,0,1497
5230,1,1,2,4,5,6,0,385
5252,1,1,1,23,6,6,0,146
5398,1,1,2,4,5,27,0,692
5434,1,1,2,23,6,26,0,456
5482,1,1,1,21,2,19,0,5548
5547,1,4,1,26,6,32,0,1110
5573,1,1,2,3,3,30,0,4184
5602,1,1,1,3,3,26,0,1043
5618,1,1,1,3,3,26,0,688
5628,1,1,2,3,3,27,0,1593
5692,1,1,1,3,3,26,0,903
5719,1,1,1,3,3,26,0,749
5748,1,2,2,3,3,20,0,1373
5757,1,1,1,26,1,8,0,3912
5875,1,1,2,17,6,3,0,184
5921,1,1,1,3,3,3,0,870
5921,1,2,1,4,1,3,0,870
5924,1,1,2,3,3,24,0,1317
6007,1,1,2,3,3,6,0,599
6029,1,2,1,3,3,11,0,7230
6087,1,1,1,3,3,7,0,2951
6095,1,1,1,3,3,6,0,250
6108,1,3,1,3,3,15,0,10511
6108,1,2,1,3,3,15,0,10511
6158,1,1,1,3,11,31,0,427
6158,1,2,1,4,11,31,0,427
6162,1,1,1,6,6,18,0,790
6174,1,2,1,3,11,17,0,133
6314,1,5,1,21,6,14,0,15301
6316,1,1,1,3,3,9,0,3015
6332,1,6,1,12,6,7,0,2085
6343,1,2,1,3,3,29,0,121
6371,1,1,2,3,3,28,0,1638
6379,1,1,2,3,3,4,0,930
6393,1,2,1,5,1,19,0,2431
6401,1,2,2,3,3,12,0,726
6414,1,1,2,11,6,32,0,301
6422,1,1,2,15,6,5,0,1349
6430,1,1,2,4,6,11,0,2893
6444,1,1,1,4,5,16,0,1593
6520,1,2,2,3,3,29,0,743
6551,1,1,1,3,3,18,0,529
6568,1,1,2,3,3,6,0,282
6579,1,1,2,3,3,15,0,10442
6607,1,2,1,4,1,21,0,1049
6711,1,1,1,3,3,8,0,3985
6742,1,2,1,4,5,8,0,4167
6754,1,1,2,4,11,19,0,3375
6758,1,1,2,24,6,15,0,2490
6786,1,2,1,3,3,25,0,4530
6856,1,1,1,19,6,20,0,764
6856,1,2,2,22,6,20,0,764
6858,1,2,1,4,3,1,0,1188
6867,1,1,2,3,3,10,0,1011
6878,1,1,2,22,6,16,0,1224
6904,1,4,2,19,8,16,0,2558
6925,1,1,1,3,3,2,0,1276
6957,1,1,1,3,3,30,0,11763
6959,1,1,1,3,3,26,0,924
7015,1,1,1,3,3,29,0,777
7101,1,1,2,5,1,19,0,3436
7104,1,1,2,4,3,2,0,1450
7108,1,1,1,3,1,30,0,4202
7164,1,1,1,4,3,17,0,2970
7175,1,1,2,4,3,8,0,2241
7214,1,1,2,3,3,31,0,1097
7221,1,1,1,3,3,27,0,1405
7228,1,1,2,3,3,22,0,2126
7269,1,3,1,3,3,29,0,1207
7299,1,1,2,3,3,29,0,432
7304,1,1,1,3,3,16,0,1546
7327,1,3,1,19,7,6,0,303
7333,1,1,1,5,1,21,0,1577
7338,1,1,2,3,3,29,0,434
7343,1,1,1,3,3,1,0,434
7388,1,2,2,6,9,5,0,1072
7390,1,1,2,4,1,20,0,2142
7425,1,1,1,6,6,22,0,933
7446,1,1,2,3,3,29,0,364
7491,1,2,2,3,3,23,0,1569
7518,1,1,2,3,3,5,0,1347
7587,1,2,1,4,1,26,0,1735
7636,1,1,1,3,3,32,0,318
7636,1,2,2,4,3,32,0,318
7651,1,1,1,3,11,32,0,545
7655,1,1,2,12,10,1,0,769
7672,1,2,2,3,3,31,0,2296
7674,1,1,2,5,3,6,0,484
7680,1,1,1,4,5,13,0,1138
7745,1,1,2,3,3,10,0,1091
7773,1,1,1,3,3,22,0,1178
7825,1,1,1,4,6,14,0,3156
7859,1,1,1,9,6,12,0,1338
7907,1,2,2,3,5,4,0,1457
7907,1,3,1,5,5,4,0,1457
7937,1,1,1,3,3,15,0,7494
8034,1,1,1,3,3,20,0,3232
8042,1,2,2,3,3,25,0,1097
8063,1,1,2,3,3,29,0,542
8091,1,1,2,3,3,29,0,579
8115,1,1,1,3,3,32,0,800
8156,1,1,1,4,3,30,0,5181
8174,1,2,1,27,6,25,0,1438
8195,1,3,2,3,3,31,0,3537
8210,1,2,1,3,1,16,0,13771
8211,1,2,1,3,3,27,0,2239
8256,1,1,2,3,11,9,0,4857
8259,1,1,1,3,3,2,0,1606
8286,1,4,1,18,1,3,0,847
8301,1,1,2,18,8,18,0,272
8317,1,1,2,4,3,11,0,2471
8336,1,1,2,3,3,19,0,2483
8343,1,1,2,3,3,7,0,1500
8378,1,2,2,14,6,29,0,378
8386,1,2,2,4,4,7,0,3126
8390,1,2,2,3,3,7,0,2353
8415,1,2,1,3,7,15,0,22693
8415,1,3,2,4,7,15,0,22693
8429,1,1,1,4,11,30,0,4457
8431,1,1,1,3,3,2,0,1276
8484,1,1,1,3,3,3,0,309
8606,1,1,2,3,3,28,0,2321
8609,1,2,2,3,3,10,0,4558
8616,1,1,1,3,3,5,0,2446
8656,1,2,1,3,3,4,0,411
8711,1,1,2,3,3,21,0,1496
8765,1,1,1,3,3,31,0,505
8790,1,2,1,3,3,27,0,1463
8795,1,1,1,4,3,11,0,3828
8802,1,1,1,3,3,5,0,816
8852,1,1,1,24,2,19,0,1901
8892,1,1,2,3,3,8,0,2269
8908,1,3,2,4,3,23,0,1575
8935,1,1,1,4,5,3,0,1081
9061,1,1,2,3,3,32,0,387
9078,1,1,2,3,1,21,0,3296
9082,1,2,2,3,3,19,0,13296
9116,1,1,2,3,3,21,0,2637
9141,1,1,1,3,3,29,0,538
9157,1,1,2,3,3,8,0,3127
9285,1,1,2,3,3,26,0,1494
9292,1,1,1,3,3,31,0,608
9293,1,1,1,3,3,5,0,1717
9303,1,1,1,4,11,3,0,497
9350,1,1,2,3,3,20,0,1005
9406,1,1,1,3,3,10,0,2456
9494,1,1,2,3,3,8,0,3307
9525,1,1,2,3,3,32,0,430
9538,1,1,1,3,9,21,0,1068
9565,1,1,2,3,3,23,0,1465
9657,1,9,1,28,1,19,0,13229
9657,1,8,2,25,2,19,0,13229
9696,1,4,1,28,1,18,0,437
9699,1,2,2,24,1,7,0,2085
9700,1,2,2,25,1,18,0,685
9722,1,1,2,3,3,7,0,2027
9771,1,1,1,4,5,4,0,404
9777,1,1,1,3,3,18,0,1604
9780,1,2,1,4,7,7,0,1515
9780,1,3,1,4,7,7,0,1515
9783,1,1,2,4,11,8,0,878
9801,1,2,2,3,3,12,0,8791
9833,1,2,1,3,3,2,0,1103
9838,1,1,1,3,3,2,0,1301
9860,1,1,1,4,5,29,0,350
9876,1,1,1,3,3,27,0,631
9907,1,2,2,3,3,17,0,691
9962,1,1,2,3,3,1,0,459
9994,1,3,1,22,10,24,0,1548
10008,1,1,1,3,3,3,0,397
10021,1,2,2,3,11,17,0,836
10040,1,2,1,6,5,13,0,2049
10053,1,1,1,3,3,17,0,243
10103,1,1,2,3,3,29,0,545
10153,1,1,2,3,3,29,0,285
10252,1,1,1,3,3,10,0,1561
10252,1,3,1,5,10,10,0,1561
10252,1,2,1,3,3,10,0,1561
10276,1,2,2,3,3,26,0,2720
10356,1,1,1,3,3,1,0,303
10361,1,1,1,3,3,7,0,3364
10364,1,1,1,3,4,6,0,472
10381,1,1,1,4,1,12,0,550
10387,1,1,2,3,3,7,0,2631
10414,1,1,2,3,3,7,0,2342
10416,1,1,1,3,3,18,0,899
10435,1,1,1,4,3,27,0,699
10449,1,1,2,3,3,16,0,1252
10470,1,1,1,3,7,24,0,1534
10494,1,1,2,3,3,11,0,3378
10536,1,2,1,26,1,21,0,4892
10577,1,3,1,5,5,16,0,2878
10577,1,1,2,3,4,16,0,2878
10577,1,2,1,4,5,16,0,2878
10588,1,1,1,4,3,30,0,9844
10602,1,1,2,3,3,11,0,3303
10618,1,1,1,3,3,17,0,1104
10735,1,1,1,4,3,14,0,5781
10746,1,1,1,3,5,32,0,234
10759,1,1,1,4,1,22,0,1754
10759,1,3,1,5,1,22,0,1754
10759,1,2,1,5,1,22,0,1754
10760,1,1,1,3,3,8,0,1385
10769,1,2,2,3,1,7,0,2244
10857,1,1,2,3,1,12,0,1370
10871,1,2,2,27,2,29,0,236
10927,1,1,2,3,3,29,0,738
10942,1,1,2,4,3,8,0,2352
10966,1,1,2,3,3,3,0,502
10972,1,1,2,3,3,19,0,3032
10983,1,1,1,3,3,5,0,1631
11061,1,2,2,3,11,29,0,414
11085,1,2,1,3,3,27,0,791
11157,1,1,2,3,3,9,0,4898
11162,1,1,1,3,3,32,0,501
11183,1,2,2,4,7,12,0,1981
11203,1,1,1,3,3,30,0,3792
11239,1,2,2,3,3,19,0,2230
11261,1,1,2,3,3,20,0,7007
11275,1,1,1,3,3,27,0,378
11298,1,1,2,4,3,20,0,635
11322,1,2,1,28,2,22,0,1202
11380,1,1,1,29,6,26,0,635
11400,1,1,1,17,6,28,0,1679
11437,1,1,1,3,3,10,0,1544
11532,1,1,2,3,3,1,0,715
11545,1,2,1,4,3,10,0,6515
11558,1,2,1,3,3,29,0,1144
11648,1,1,1,4,3,11,0,1066
11650,1,1,1,3,3,26,0,1588
11663,1,1,1,3,3,17,0,1437
11742,1,1,2,3,3,17,0,666
11751,1,2,2,4,3,1,0,2058
11757,1,1,1,4,11,31,0,661
11777,1,2,1,19,6,24,0,1748
11778,1,1,1,4,3,5,0,1867
11815,1,1,1,4,7,3,0,461
11933,1,2,1,3,11,8,0,7694
11939,1,1,1,5,7,16,0,1707
11940,1,1,1,3,3,24,0,1237
11984,1,1,2,3,3,13,0,1318
12005,1,1,2,3,3,2,0,2431
12054,1,1,1,3,3,17,0,154
12071,1,1,2,3,3,15,0,4697
12119,1,1,2,7,1,12,0,784
12136,1,1,2,4,11,21,0,2637
12154,1,1,2,3,3,21,0,1212
12169,1,3,1,11,6,7,0,1865
12201,1,1,2,3,3,1,0,1291
12228,1,1,1,3,3,29,0,383
12244,1,1,1,3,3,32,0,725
12274,1,1,2,4,9,10,0,448
12296,1,1,2,3,3,1,0,867
12299,1,1,1,19,2,26,0,2541
12306,1,1,1,3,3,9,0,2360
12321,1,1,2,3,3,26,0,1453
12415,1,9,1,26,7,26,0,7215
12491,1,2,1,19,9,9,0,5869
12497,1,1,1,3,3,12,0,908
12528,1,1,1,3,3,2,0,1276
12538,1,1,1,13,6,20,0,1578
12541,1,1,1,3,1,7,0,1403
12555,1,1,1,3,3,29,0,387
12559,1,1,2,3,3,4,0,406
12583,1,2,1,3,3,1,0,3130
12583,1,6,2,25,8,1,0,3130
12583,1,5,2,24,8,1,0,3130
12583,1,7,1,29,2,1,0,3130
12583,1,3,1,3,3,1,0,3130
12591,1,3,1,28,10,21,0,2596
12627,1,1,1,5,5,8,0,2309
12679,1,2,1,3,3,16,0,5550
12690,1,2,1,3,10,17,0,1028
12695,1,1,1,3,3,19,0,3180
12707,1,2,1,3,3,28,0,6561
12788,1,1,2,3,3,3,0,326
12789,1,2,2,4,3,6,0,511
12797,1,1,1,6,11,32,0,345
12829,1,3,1,3,3,11,0,3046
12846,1,1,1,5,1,27,0,632
12890,1,2,2,3,3,5,0,1279
12921,1,2,2,3,1,20,0,2787
12957,1,1,1,3,3,16,0,4369
12960,1,1,2,3,5,20,0,2321
12991,1,1,1,3,3,29,0,313
13018,1,1,1,3,3,26,0,1210
13038,1,2,2,27,6,14,0,3137
13048,1,1,1,3,3,32,0,489
13062,1,1,1,3,3,7,0,2939
13098,1,1,1,3,3,17,0,2575
13141,1,1,2,3,11,3,0,374
13157,1,1,1,3,3,17,0,2705
13301,1,1,1,29,6,20,0,683
13312,1,2,2,3,3,8,0,2703
13356,1,1,1,3,3,26,0,1590
13375,1,1,1,3,3,11,0,4537
13396,1,2,1,3,3,1,0,900
13408,1,4,2,29,1,13,0,2055
13413,1,1,2,3,1,23,0,1511
13417,1,1,1,3,3,22,0,1460
13554,1,2,1,17,7,27,0,1403
13593,1,1,2,4,1,27,0,537
13628,1,1,1,3,3,3,0,232
13666,1,1,2,3,3,25,0,2183
13677,1,2,2,4,3,14,0,6621
13745,1,1,1,3,3,24,0,1096
13842,1,1,1,3,3,13,0,1234
13894,1,3,2,3,3,7,0,23349
13900,1,1,1,3,3,14,0,3957
13952,1,1,1,3,3,29,0,574
13958,1,1,1,4,3,29,0,366
13961,1,1,2,8,6,26,0,913
14023,1,1,2,3,3,17,0,599
14032,1,1,2,3,3,7,0,1845
14050,1,1,2,11,7,16,0,3131
14069,1,1,2,3,3,15,0,4700
14084,1,1,1,4,9,15,0,5887
14176,1,3,2,28,1,21,0,5553
14236,1,1,1,4,3,17,0,606
14241,1,1,1,3,3,9,0,4292
14254,1,1,1,3,1,25,0,1207
14262,1,1,2,4,3,28,0,1993
14262,1,2,2,4,3,28,0,1993
14347,1,1,1,3,3,7,0,1757
14350,1,1,1,3,3,31,0,786
14354,1,2,1,3,1,6,0,435
14367,1,1,1,3,3,4,0,875
14416,1,2,1,3,3,22,0,884
14437,1,3,1,6,5,26,0,3356
14465,1,1,1,3,3,17,0,962
14468,1,1,1,24,6,27,0,361
14478,1,1,1,3,3,11,0,1282
14493,1,1,2,5,5,10,0,1062
14510,1,1,1,4,3,27,0,749
14524,1,1,2,4,3,10,0,744
14534,1,1,2,3,3,3,0,300
14590,1,2,2,3,3,32,0,1533
14594,1,1,1,9,6,31,0,744
14597,1,3,1,6,1,18,0,2581
14597,1,4,2,8,1,18,0,2581
14608,1,1,2,3,3,32,0,765
14624,1,1,2,3,11,13,0,3241
14634,1,1,2,3,3,2,0,2628
14640,1,2,1,3,11,3,0,633
14657,1,1,1,3,3,6,0,204
14673,1,1,2,3,3,21,0,1417
14693,1,2,1,17,6,6,0,394
14739,1,1,2,5,11,20,0,868
14760,1,1,2,4,11,7,0,1237
14879,1,2,2,3,3,30,0,3763
14884,1,2,1,3,3,18,0,715
14898,1,1,2,3,3,18,0,469
14922,1,1,1,3,3,20,0,1494
14998,1,1,2,3,3,29,0,545
15001,1,2,2,3,3,10,0,453
15003,1,1,1,3,3,29,0,725
15028,1,1,1,5,11,23,0,1549
15080,1,2,1,20,6,31,0,762
15124,1,2,1,3,3,21,0,906
15152,1,2,1,3,3,12,0,4049
15176,1,1,1,5,1,15,0,8873
15195,1,1,2,3,3,26,0,1787
15223,1,1,1,3,3,8,0,3264
15236,1,1,2,3,3,16,0,4859
15250,1,1,1,4,3,24,0,2360
15258,1,1,2,21,2,3,0,417
15294,1,1,1,3,3,23,0,998
15395,1,4,2,29,7,27,0,682
15561,1,1,1,3,3,32,0,571
15571,1,1,2,4,11,19,0,3111
15579,1,1,2,3,3,4,0,751
15631,1,1,2,3,3,29,0,158
15645,1,2,1,3,3,17,0,1467
15668,1,1,1,3,3,22,0,1308
15678,1,1,2,3,3,5,0,1722
15718,1,4,1,4,3,26,0,2462
15731,1,1,2,3,3,13,0,1698
15736,1,1,1,3,3,15,0,8539
15761,1,2,2,5,3,27,0,1006
15777,1,1,1,24,6,22,0,783
15822,1,1,1,3,3,4,0,774
15824,1,1,1,3,3,17,0,360
15841,1,1,1,3,11,21,0,1761
15854,1,1,1,3,3,25,0,1824
15864,1,2,1,4,3,31,0,1327
15872,1,2,1,11,6,9,0,3245
15895,1,2,2,3,3,22,0,1579
15924,1,1,1,3,3,23,0,1708
15960,1,1,2,4,1,24,0,983
15985,1,1,2,3,3,2,0,1595
16002,1,1,1,3,3,28,0,789
16033,1,2,2,3,3,29,0,635
16037,1,1,1,4,3,28,0,1718
16096,1,4,2,20,6,29,0,318
16099,1,1,1,5,9,6,0,448
16136,1,1,1,4,3,32,0,795
16200,1,2,2,3,3,32,0,656
16203,1,1,2,3,3,3,0,1411
16266,1,1,1,3,3,4,0,141
16304,1,1,2,3,3,19,0,3706
16309,1,1,1,3,3,3,0,610
16376,1,1,2,3,3,20,0,1275
16401,1,2,2,4,3,3,0,1283
16426,1,1,1,3,3,28,0,1399
16441,1,1,2,3,3,10,0,448
16455,1,1,1,3,3,2,0,1581
16470,1,2,1,3,3,6,0,396
16526,1,1,1,3,3,2,0,1982
16531,1,1,1,3,3,19,0,2412
16556,1,1,1,14,6,2,0,2632
16691,1,1,2,5,6,4,0,140
16703,1,1,1,4,11,17,0,745
16759,1,2,1,3,11,20,0,2533
16774,1,2,2,3,3,31,0,1526
16813,1,1,2,29,8,11,0,2121
16835,1,1,2,4,11,27,0,945
16853,1,1,1,3,3,28,0,124
16894,1,2,2,4,5,2,0,986
16901,1,1,2,3,3,3,0,707
16998,1,1,2,3,3,28,0,964
17051,1,1,1,3,3,1,0,393
17191,1,1,1,3,3,15,0,6036
17210,1,5,1,22,1,7,0,3272
17308,1,1,1,8,6,29,0,434
17349,1,1,1,3,3,29,0,1344
17357,1,1,1,4,11,2,0,1581
17362,1,1,1,3,3,25,0,1343
17409,1,4,1,23,9,31,0,1244
17413,1,2,1,4,1,15,0,14455
17413,1,1,2,3,3,15,0,14455
17419,1,1,1,3,3,12,0,1133
17437,1,2,2,3,3,10,0,1110
17460,1,1,2,24,10,18,0,351
17477,1,3,2,29,5,7,0,2185
17483,1,1,1,3,3,31,0,982
17503,1,1,2,5,1,16,0,1070
17549,1,1,2,3,3,8,0,1891
17573,1,3,1,3,11,20,0,1774
17585,1,1,1,3,3,6,0,289
17642,1,2,1,3,3,32,0,2374
17649,1,1,1,3,3,32,0,874
17656,1,2,1,3,3,20,0,959
17666,1,1,2,3,3,2,0,2326
17683,1,1,2,3,3,3,0,386
17701,1,1,1,3,3,5,0,2014
17703,1,1,2,3,6,6,0,472
17728,1,4,1,23,6,31,0,698
17752,1,1,1,3,3,18,0,365
17759,1,1,1,4,1,27,0,657
17768,1,1,2,17,6,22,0,771
17806,1,2,2,4,1,7,0,3097
17842,1,1,1,4,11,2,0,2663
17919,1,1,2,4,5,20,0,929
17929,1,1,1,10,9,7,0,1016
17972,1,1,1,3,3,25,0,1384
18074,1,1,1,6,1,23,0,1557
18093,1,2,2,4,11,24,0,1571
18104,1,1,2,3,3,26,0,3843
18107,1,1,1,3,3,6,0,275
18137,1,1,2,3,3,28,0,1501
18175,1,1,1,3,11,22,0,1097
18224,1,1,2,4,11,2,0,949
18258,1,1,1,29,6,25,0,1488
18345,1,1,1,3,3,27,0,498
18365,1,1,2,3,3,26,0,1501
18372,1,1,1,3,3,1,0,597
18383,1,1,2,3,3,1,0,493
18439,1,1,2,3,3,27,0,645
18490,1,1,2,4,10,27,0,775
18492,1,1,1,4,11,23,0,1219
18532,1,1,1,3,3,31,0,745
18549,1,1,1,3,3,31,0,1285
18643,1,1,2,3,3,25,0,1359
18644,1,1,2,15,6,31,0,447
18652,1,1,1,3,3,13,0,2270
18690,1,1,2,3,3,13,0,941
18701,1,1,1,3,3,14,0,3736
18705,1,1,2,4,5,7,0,2070
18729,1,2,1,3,9,14,0,10106
18756,1,1,1,3,3,7,0,1623
18763,1,1,1,18,10,7,0,894
18791,1,1,1,29,10,9,0,9905
18816,1,1,1,3,3,9,0,3788
18905,1,2,1,28,2,21,0,3950
18922,1,2,2,3,3,2,0,3040
18939,1,2,2,22,10,9,0,3926
18947,1,1,1,3,5,26,0,1588
18958,1,1,2,29,6,12,0,1180
18990,1,1,2,8,6,24,0,1952
19022,1,1,2,3,3,29,0,374
19036,1,1,2,3,3,1,0,488
19080,1,1,2,3,10,9,0,4857
19123,1,3,1,21,6,18,0,349
19186,1,1,1,3,3,25,0,1631
19200,1,1,2,3,3,1,0,357
19232,1,1,1,3,3,13,0,1608
19246,1,2,1,3,1,16,0,6328
19280,1,2,2,9,6,16,0,1598
19280,1,1,2,8,6,16,0,1598
19358,1,1,1,3,3,10,0,1286
19381,1,1,2,3,3,28,0,4095
19392,1,1,2,4,3,19,0,2946
19410,1,1,1,4,5,31,0,1091
19425,1,2,1,25,10,20,0,711
19425,1,1,1,23,10,20,0,711
19431,1,1,1,3,3,17,0,800
19440,1,1,2,3,3,1,0,1339
19500,1,1,1,3,3,18,0,953
19503,1,1,1,3,3,2,0,4352
